Application_Number,Filing_Date,Mark,Applicant,Nice_class
4/2024/00505268,27 February 2024,YAYO,"Dumaual, William Clarence [PH]",25
4/2024/00505505,29 February 2024,RIBZILLA,"Marvian Foods, OPC [PH]",43
4/2024/00505507,29 February 2024,PAKU,"Marvian Foods, OPC [PH]",43
4/2024/00505510,29 February 2024,T,Tracey Star Sdn. Bhd. [MY],25
4/2024/00505511,29 February 2024,TRACEY,Tracey Star Sdn. Bhd. [MY],25
4/2024/00505513,29 February 2024,ARCTIC,"Atlas Home Products, Inc. [PH]",21
4/2024/00505518,29 February 2024,MOMPICK,"Xi'an Chidaoguangnian E- Commerce Co., Ltd. [CN]",3 and21
4/2024/00505519,29 February 2024,BÁNH MÌ KITCHEN CÀ PHÊ,Banh Mi Kitchen Services Inc. [PH],"16; 30; 32
and43"
4/2024/00505655,1 March 2024,PIONEER NET ZERO HOME,"Pioneer Adhesives, Inc. [PH]",6 and17
4/2024/00505657,1 March 2024,PIONEER ZERO ENERGY HOMES,"Pioneer Adhesives, Inc. [PH]",6 and17
4/2024/00505659,1 March 2024,BRAVIFO,MSN Labs Philippines Inc. [PH],5
4/2024/00505660,1 March 2024,PIONEER BUILDING SYSTEMS,"Pioneer Adhesives, Inc. [PH]",19
4/2024/00506867,12 March 2024,DAPATOR,"TORRENT PHARMA PHILIPPINES, INC. [PH]",5
4/2024/00506868,12 March 2024,GRETOR,TORRENT PHARMA PHILIPPINES INC. [PH],5
4/2024/00507260,14 March 2024,ECEFIX,"ECE Pharmaceuticals, Inc. [PH]",5
